repos_name,bug_fix,bug_fix_w/o_fully_reverted,bug_fix_w/o_all_reverted,refactoring,refactoring_w/o_fully_reverted,refactoring_w/o_all_reverted,fully_reverted,partial_reverted,total_commits_java
xwiki/xwiki-platform,875,873,870,8436,8409,8409,90,24,25157
apache/ignite,478,475,475,8499,8490,8489,56,18,20591
apache/cassandra,301,300,300,4895,4877,4876,59,7,12803
apache/wicket,1295,1294,1294,6668,6658,6658,56,12,25776
i2p/i2p.i2p,169,169,169,2618,2614,2614,10,1,9965
VoltDB/voltdb,874,874,874,5306,5297,5297,64,16,15289
SeleniumHQ/selenium,640,639,638,3586,3581,3581,21,5,9859
elki-project/elki,674,674,674,5563,5563,5563,4,2,13658
magefree/mage,1989,1985,1985,4510,4508,4508,33,15,26357
apache/beam,339,339,339,4834,4830,4830,9,3,10127
belaban/JGroups,345,345,345,5600,5600,5600,18,6,18389
apache/ofbiz,1350,1341,1338,2727,2716,2716,102,15,11629
apache/flink,724,723,723,7716,7712,7712,15,2,16967
libgdx/libgdx,763,761,759,2285,2283,2283,25,9,9424
eclipse/jetty.project,314,314,314,3735,3725,3725,28,6,9948
apache/jmeter,756,756,756,2920,2918,2918,10,2,12730
jenkinsci/jenkins,760,758,758,4262,4256,4256,30,9,15152
sleuthkit/autopsy,1026,1024,1023,6538,6526,6526,39,14,16902
iterate-ch/cyberduck,89,89,89,5612,5611,5611,13,6,21897
pmd/pmd,770,770,769,3163,3162,3162,10,8,9257
deeplearning4j/deeplearning4j,625,624,624,7331,7330,7330,12,8,19713
apache/tomcat,9639,9612,9612,12832,12817,12817,147,27,49174
groovy/groovy-core,723,723,723,3759,3751,3751,31,12,13345
openmrs/openmrs-core,622,620,620,3449,3438,3438,43,11,11371
dbeaver/dbeaver,204,204,204,4891,4890,4890,13,2,13625
h2oai/h2o-3,572,568,566,5275,5247,5247,70,13,14260
sakaiproject/sakai,780,778,776,6576,6558,6558,85,11,25830
gerrit-review/gerrit,188,188,188,5710,5701,5701,35,1,12910
spotbugs/spotbugs,912,911,910,3330,3329,3329,13,7,12526
