Projects,URL
00-Evan/shattered-pixel-dungeon,https://github.com/00-Evan/shattered-pixel-dungeon
1hakr/AnExplorer,https://github.com/1hakr/AnExplorer
4pr0n/ripme,https://github.com/4pr0n/ripme
ACRA/acra,https://github.com/ACRA/acra
AChep/AcDisplay,https://github.com/AChep/AcDisplay
Activiti/Activiti,https://github.com/Activiti/Activiti
Adobe-Consulting-Services/acs-aem-commons,https://github.com/Adobe-Consulting-Services/acs-aem-commons
AdoptOpenJDK/jitwatch,https://github.com/AdoptOpenJDK/jitwatch
AlexMofer/ProjectX,https://github.com/AlexMofer/ProjectX
Alluxio/alluxio,https://github.com/Alluxio/alluxio
AlmasB/FXGL,https://github.com/AlmasB/FXGL
AltBeacon/android-beacon-library,https://github.com/AltBeacon/android-beacon-library
AndlyticsProject/andlytics,https://github.com/AndlyticsProject/andlytics
Angel-ML/angel,https://github.com/Angel-ML/angel
AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod
Anuken/Mindustry,https://github.com/Anuken/Mindustry
AnySoftKeyboard/AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard
AppLozic/Applozic-Android-SDK,https://github.com/AppLozic/Applozic-Android-SDK
AppiumTestDistribution/AppiumTestDistribution,https://github.com/AppiumTestDistribution/AppiumTestDistribution
AppliedEnergistics/Applied-Energistics-2,https://github.com/AppliedEnergistics/Applied-Energistics-2
ArcBees/GWTP,https://github.com/ArcBees/GWTP
AriaLyy/Aria,https://github.com/AriaLyy/Aria
ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client
Athou/commafeed,https://github.com/Athou/commafeed
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere
Atmosphere/nettosphere,https://github.com/Atmosphere/nettosphere
Audiveris/audiveris,https://github.com/Audiveris/audiveris
Automattic/simplenote-android,https://github.com/Automattic/simplenote-android
AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework
Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java
BaseXdb/basex,https://github.com/BaseXdb/basex
Bilibili/DanmakuFlameMaster,https://github.com/Bilibili/DanmakuFlameMaster
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode
BluSunrize/ImmersiveEngineering,https://github.com/BluSunrize/ImmersiveEngineering
BroadleafCommerce/BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce
BuildCraft/BuildCraft,https://github.com/BuildCraft/BuildCraft
Bukkit/Bukkit,https://github.com/Bukkit/Bukkit
CalebFenton/simplify,https://github.com/CalebFenton/simplify
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer
CellularPrivacy/Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector
ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains
CloudifySource/cloudify,https://github.com/CloudifySource/cloudify
CogComp/cogcomp-nlp,https://github.com/CogComp/cogcomp-nlp
Coinomi/coinomi-android,https://github.com/Coinomi/coinomi-android
Col-E/Recaf,https://github.com/Col-E/Recaf
Comcast/cmb,https://github.com/Comcast/cmb
ContainerSolutions/minimesos,https://github.com/ContainerSolutions/minimesos
CorfuDB/CorfuDB,https://github.com/CorfuDB/CorfuDB
CyanogenMod/android_packages_apps_Camera,https://github.com/CyanogenMod/android_packages_apps_Camera
CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
DSheirer/sdrtrunk,https://github.com/DSheirer/sdrtrunk
DSpace/DSpace,https://github.com/DSpace/DSpace
DV8FromTheWorld/JDA,https://github.com/DV8FromTheWorld/JDA
DataSketches/sketches-core,https://github.com/DataSketches/sketches-core
DataSystemsLab/GeoSpark,https://github.com/DataSystemsLab/GeoSpark
DaxiaK/MyDiary,https://github.com/DaxiaK/MyDiary
Devskiller/jfairy,https://github.com/Devskiller/jfairy
DigitalPebble/storm-crawler,https://github.com/DigitalPebble/storm-crawler
Discord4J/Discord4J,https://github.com/Discord4J/Discord4J
DozerMapper/dozer,https://github.com/DozerMapper/dozer
DragonetMC/DragonProxy,https://github.com/DragonetMC/DragonProxy
DreaminginCodeZH/Douya,https://github.com/DreaminginCodeZH/Douya
Dreampie/Resty,https://github.com/Dreampie/Resty
DroidPlanner/Tower,https://github.com/DroidPlanner/Tower
EddieRingle/hubroid,https://github.com/EddieRingle/hubroid
EdwardRaff/JSAT,https://github.com/EdwardRaff/JSAT
EhsanTang/ApiManager,https://github.com/EhsanTang/ApiManager
Esri/arcgis-runtime-samples-android,https://github.com/Esri/arcgis-runtime-samples-android
EssentialsX/Essentials,https://github.com/EssentialsX/Essentials
Etar-Group/Etar-Calendar,https://github.com/Etar-Group/Etar-Calendar
Exslims/MercuryTrade,https://github.com/Exslims/MercuryTrade
FXMisc/RichTextFX,https://github.com/FXMisc/RichTextFX
FasterXML/jackson-annotations,https://github.com/FasterXML/jackson-annotations
FasterXML/jackson-core,https://github.com/FasterXML/jackson-core
FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind
FasterXML/jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml
Floens/Clover,https://github.com/Floens/Clover
FlowCI/flow-platform,https://github.com/FlowCI/flow-platform
FluentLenium/FluentLenium,https://github.com/FluentLenium/FluentLenium
FolioReader/FolioReader-Android,https://github.com/FolioReader/FolioReader-Android
ForestryMC/ForestryMC,https://github.com/ForestryMC/ForestryMC
FreeTymeKiyan/LeetCode-Sol-Res,https://github.com/FreeTymeKiyan/LeetCode-Sol-Res
Freeyourgadget/Gadgetbridge,https://github.com/Freeyourgadget/Gadgetbridge
GDGAhmedabad/Learning-Resources,https://github.com/GDGAhmedabad/Learning-Resources
GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote
Genymobile/gnirehtet,https://github.com/Genymobile/gnirehtet
Glitchfiend/BiomesOPlenty,https://github.com/Glitchfiend/BiomesOPlenty
GlowstoneMC/Glowstone-Legacy,https://github.com/GlowstoneMC/Glowstone-Legacy
GlowstoneMC/Glowstone,https://github.com/GlowstoneMC/Glowstone
Glucosio/glucosio-android,https://github.com/Glucosio/glucosio-android
GoClipse/goclipse,https://github.com/GoClipse/goclipse
GoogleCloudPlatform/getting-started-java,https://github.com/GoogleCloudPlatform/getting-started-java
GoogleCloudPlatform/java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples
GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib
Grarak/KernelAdiutor,https://github.com/Grarak/KernelAdiutor
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server
Grover-c13/PokeGOAPI-Java,https://github.com/Grover-c13/PokeGOAPI-Java
GwtMaterialDesign/gwt-material,https://github.com/GwtMaterialDesign/gwt-material
Haehnchen/idea-php-symfony2-plugin,https://github.com/Haehnchen/idea-php-symfony2-plugin
HanSolo/Medusa,https://github.com/HanSolo/Medusa
HanSolo/tilesfx,https://github.com/HanSolo/tilesfx
HdrHistogram/HdrHistogram,https://github.com/HdrHistogram/HdrHistogram
Hive2Hive/Hive2Hive,https://github.com/Hive2Hive/Hive2Hive
HoraApps/LeafPic,https://github.com/HoraApps/LeafPic
HotswapProjects/HotswapAgent,https://github.com/HotswapProjects/HotswapAgent
HubSpot/Singularity,https://github.com/HubSpot/Singularity
HubSpot/jinjava,https://github.com/HubSpot/jinjava
INRIA/spoon,https://github.com/INRIA/spoon
IQSS/dataverse,https://github.com/IQSS/dataverse
IanDarwin/Android-Cookbook-Examples,https://github.com/IanDarwin/Android-Cookbook-Examples
JCTools/JCTools,https://github.com/JCTools/JCTools
JOML-CI/JOML,https://github.com/JOML-CI/JOML
JSQLParser/JSqlParser,https://github.com/JSQLParser/JSqlParser
JabRef/jabref,https://github.com/JabRef/jabref
JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms
JetBrains/Grammar-Kit,https://github.com/JetBrains/Grammar-Kit
JetBrains/MPS,https://github.com/JetBrains/MPS
JetBrains/android,https://github.com/JetBrains/android
JetBrains/ideavim,https://github.com/JetBrains/ideavim
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins
JetBrains/intellij-sdk-docs,https://github.com/JetBrains/intellij-sdk-docs
JetBrains/xodus,https://github.com/JetBrains/xodus
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time
JpressProjects/jpress,https://github.com/JpressProjects/jpress
Justson/AgentWeb,https://github.com/Justson/AgentWeb
Kennyc1012/Opengur,https://github.com/Kennyc1012/Opengur
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir
KylinOLAP/Kylin,https://github.com/KylinOLAP/Kylin
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor
LWJGL/lwjgl,https://github.com/LWJGL/lwjgl
LWJGL/lwjgl3,https://github.com/LWJGL/lwjgl3
LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector
M66B/NetGuard,https://github.com/M66B/NetGuard
